posX,posY,posZ,vx,vy,vz,angleFromWorldX
-1.3243564456645025e-8,2.4920351766777453,-8.623433374015629e-10,-7.946138673987015e-7,-0.1778893993352574,-5.174060024409378e-8,0
-1.9610645658182156e-8,2.4920058296798846,-1.3748508565121342e-9,-8.634227556968862e-8,-0.17965021920692076,-7.342276701090365e-9,0
-2.6933747934613143e-8,2.492005826859316,-1.9977100830383656e-9,-1.2585179598481596e-7,-0.17965038844101222,-1.0704248431224468e-8,0
-3.7616377782989986e-8,2.4920058268590446,-2.906314680367878e-9,-1.8359046946427946e-7,-0.17965038845728729,-1.561517576275373e-8,0
-5.320001817851273e-8,2.492005826859044,-4.231771862400672e-9,-2.678186837161202e-7,-0.1796503884572952,-2.277915703414873e-8,8.537736462515939e-7
-7.593317011330517e-8,2.492005826859044,-6.165326591618099e-9,-3.9068938018272723e-7,-0.17965038845731054,-3.3229854384429775e-8,0.0000017075472925031877
-1.0909590904164168e-7,2.4920058268590424,-8.985963849304415e-9,-5.69931085608144e-7,-0.1796503884573344,-4.8475154683388927e-8,0.0000024148365394514667
-1.5747315374261287e-7,2.4920058268590397,-1.3100662381413785e-8,-8.31405861529864e-7,-0.17965038845736828,-7.071474782782006e-8,0.00000352019892386405
-2.280450629212862e-7,2.492005826859034,-1.9103116078954525e-8,-0.0000012128408564484718,-0.17965038845743603,-1.0315749717034336e-7,0.000005122641877509565
-3.309941746019232e-7,2.492005826859023,-2.7859396070115242e-8,-0.0000017692718003801881,-0.17965038845755368,-1.504844512685093e-7,0.000007491833340751661
-4.811746033315004e-7,2.4920058268589984,-4.063291312944894e-8,-0.000002580983875685409,-0.1796503884577776,-2.1952424444572762e-7,0.000010900252224719401
-7.00255280908298e-7,2.492005826858948,-5.926671157375085e-8,-0.0000037650957662706057,-0.1796503884582237,-3.202384051452734e-7,0.000015972642350651042
-0.0000010198464792985195,2.492005826858843,-8.644939724238137e-8,-0.000005492458210711888,-0.17965038845910067,-4.671586690178989e-7,0.000023272184538673578
-0.0000014860607291692982,2.4920058268586183,-1.261030715173175e-7,-0.000008012305388623717,-0.1796503884608734,-6.814837854601826e-7,0.00003395830344041665
