posX,posY,posZ,angleFromWorldX
0.7916666666666666,2.49241125,0,0
3.5805495805407657,2.4921395248974756,-4.741042134728018e-10,0
5.850078650971545,2.492139502764234,-8.255267650927464e-10,0
7.696589467637658,2.4921395027624316,-1.151026734099193e-9,0
9.198549272642286,2.492139502762431,-1.472730664671665e-9,0
10.4198701252048,2.4921395027624307,-1.8162194320934174e-9,0
11.412608797009764,2.492139502762431,-2.213216493371473e-9,0
12.219165853949072,2.4921395027624302,-2.70521350952051e-9,0
12.874076821945208,2.4921395027624307,-3.3485088251400947e-9,0
13.405471102709075,2.4921395027624302,-4.221309883356339e-9,0
13.836260269742967,2.492139502762431,-5.4338284118615135e-9,0
14.18510594286183,2.492139502762431,-7.1426999294581235e-9,0
14.467208128040063,2.4921395027624316,-9.571637701106718e-9,0
14.69494732514386,2.492139502762431,-1.3041063776831043e-8,0
14.87840752869235,2.4921395027624307,-1.8010657539206872e-8,0
15.025802215246332,2.4921395027624307,-2.5140484787389662e-8,0
15.143821312798805,2.4921395027624307,-3.537884690554619e-8,0
15.23791380951212,2.49213950276243,-5.0088550845769454e-8,0
15.312517940300685,2.492139502762429,-7.12284201755708e-8,0.0000012074182697257333
15.371248675241254,2.492139502762428,-1.0161422808418523e-7,0.0000014787793334710982
15.417050430054907,2.492139502762425,-1.452938160460349e-7,0.0000022588727439225506
15.452321449749059,2.492139502762418,-2.080863751000682e-7,0.000003306651113363206
15.479015119871283,2.492139502762404,-2.983577397658662e-7,0.000004829673078902934
15.49872248515874,2.4921395027623774,-4.281349900174551e-7,0.0000069884384818971375
15.512739461493874,2.4921395027623183,-6.147088651495972e-7,0.00001006584283732318
15.522121580462409,2.4921395027621984,-8.829374874324107e-7,0.000014489019236708837
15.527728579137996,2.4921395027619524,-0.0000012685583341608857,0.00002080826967304219
15.530260718740472,2.4921395027614484,-0.0000018229497329606338,0.000029942999348955052
15.530556022947474,2.4921395032820852,-0.0000026200588635405676,0.00004310500133507822
15.53055519956674,2.4921395027583,-0.000003765974506942151,0.00006198537789791418
15.530554015823906,2.4921395027538225,-0.000005413412809760487,0.00008911613904492394
15.530552314001916,2.4921395027446613,-0.000007781870799986132,0.00012811726311535317
15.53054986735644,2.4921395027257387,-0.000011186910938502118,0.0001841896684169273
15.53054634990455,2.492139502686642,-0.000016082205375061812,0.00026480474726917703
15.530541292990318,2.492139502605856,-0.000023119981511090008,0.0003806997654769084
15.530534022839136,2.492139502438914,-0.00003323792259326725,0.0005473181868167632
15.530523570778593,2.4921395020939126,-0.00004778410206562632,0.0007868588400021182
15.530508544159291,2.492139501380909,-0.0000686965983821533,0.0011312368718965021
15.530486940767924,2.4921394999073296,-0.00009876172345910503,0.001626335040308958
15.530455881985462,2.4921394968618094,-0.0001419852743457293,0.002338119885206833
15.530411229095616,2.4921394905674354,-0.00020412628109458793,0.0033614262245010938
15.530347031535289,2.4921394775584393,-0.0002934643837585671,0.004832596713404206
15.53025473339397,2.492139450430841,-0.00042190342358660964,0.0069476286244182514
15.530122036731775,2.492139394303187,-0.000606559066243801,0.009988194197379747
15.529931258265457,2.4921392803053677,-0.0008720430466831316,0.014359237965879106
15.529656963047092,2.492139046836193,-0.0012537451197646684,0.020642469624698564
15.529262522929876,2.4921385698634713,-0.0018025640182544054,0.029673519343552394
15.528804184033323,2.4924733433107567,-0.0024969779382935874,0.0413409376341444
15.528398763467079,2.492988890841096,-0.003236462538839255,0.05063191954398248
15.528148469852857,2.4933850904450754,-0.003967058476980581,0.056366830472174397
15.527972526286316,2.4953948091220055,-0.0046471117489613615,0.060396536035266735
15.527735691920318,2.4960605035524948,-0.005172151096205174,0.06582319788611078
15.527503656798162,2.496563326788659,-0.005631808831583719,0.07114002862433053
15.527271261461761,2.497008122185637,-0.006040014447887727,0.07646528682311615
15.52721176919134,2.496793730337546,-0.006110397927484097,0.08356366294534116
15.527672096232168,2.4957939748246996,-0.005674387899591936,0.07301343513479859
15.5280759145325,2.495411614157742,-0.005415612831294152,0.06375827344600317
15.528433803705616,2.495209497969839,-0.005295510141828339,0.055555580891962775
15.528758686254564,2.4951332737088436,-0.005288573829006673,0.04810910738564898
15.529061779812997,2.4951603924042747,-0.005375998264001986,0.0411616102841405
15.529352298114327,2.495274133686121,-0.005543559851872586,0.03450157405776818
15.529637904936505,2.495461890818294,-0.0057806452413648735,0.0279525761326413
15.529925090312146,2.4957143184041506,-0.006079509309947323,0.021364430170315574
15.530408564738398,2.4951806541172896,-0.006062573650885,0.012786411539177462
15.530642926883242,2.493549904200166,-0.006603968538674859,0.012802917310355643
15.530642412389362,2.4942948728672705,-0.007652309682088302,0.012799636743302237
15.530728023023686,2.4927616308494844,-0.008326687737440816,0.016325957856539678
15.53049337319711,2.492351595929012,-0.009161090859667495,0.02220867334785413
15.530379770522494,2.4928899190502545,-0.010140643745251388,0.024780515096933645
15.530375139495275,2.4937856587558955,-0.011100457365415501,0.0248726693458307
15.530366798027757,2.4963740248640516,-0.011906224509939686,0.02761064339118263
15.531120178852541,2.4943771761972005,-0.011653140728269396,0.01253902861194668
