posX,posY,posZ,vx,vy,vz,angleFromWorldX
-1.5541043337995604e-8,2.492008732880133,-1.0315640772527707e-9,-1.3784873288103472e-7,-0.17947602719203554,-1.0153244391072475e-8,0
-2.1190973045856818e-8,2.492005827138346,-1.509262130651915e-9,-9.481964326047972e-8,-0.1796503716992549,-8.06467644838686e-9,0
-2.9238933187125483e-8,2.492005826859072,-2.193776207486659e-9,-1.3831111515074028e-7,-0.17965038845567402,-1.1763967466897615e-8,0
-4.097914314665953e-8,2.4920058268590446,-3.1923326710180645e-9,-2.017659218201726e-7,-0.17965038845728895,-1.7161079439011177e-8,8.537736462515939e-7
-5.810556364927588e-8,2.492005826859044,-4.649010102001137e-9,-2.943327282457893e-7,-0.17965038845730047,-2.5034294376027888e-8,8.537736462515939e-7
-8.308929713419383e-8,2.4920058268590437,-6.773986744735614e-9,-4.2936762125332017e-7,-0.1796503884573122,-3.651960918705094e-8,0.0000017075472925031877
-1.1953514654341578e-7,2.4920058268590424,-9.873867087851745e-9,-6.26354250106447e-7,-0.1796503884573391,-5.3274194312839814e-8,0.000002561320938754782
-1.7270173745703802e-7,2.492005826859039,-1.439592085156668e-8,-9.13715022865509e-7,-0.17965038845738113,-7.771550820917378e-8,0.000003818191820832846
-2.5026026420218176e-7,2.492005826859032,-2.099261763179454e-8,-0.0000013329120768537323,-0.17965038845745948,-1.1337009317040074e-7,0.000005663293681020318
-3.634013357874766e-7,2.492005826859018,-3.0615769703793274e-8,-0.000001944429671133204,-0.17965038845759773,-1.6538241802068184e-7,0.000008233494873389921
-5.284496237344243e-7,2.4920058268589895,-4.465386584612248e-8,-0.0000028365012241754346,-0.17965038845786824,-2.412571630004122e-7,0.000012013660097101191
-7.692192836268334e-7,2.4920058268589296,-6.513241235757103e-8,-0.00000413784016311213,-0.1796503884583957,-3.5194204702921054e-7,0.000017517970596881582
-0.0000011204500034350333,2.4920058268588017,-9.500618833841794e-8,-0.000006036211448190832,-0.17965038845943523,-5.13407465762194e-7,0.000025584734437791434
-0.0000016328194529866794,2.4920058268585312,-1.3858558600429737e-7,-0.000008805523429042874,-0.17965038846156287,-7.489508692187925e-7,0.000037342228332969065
-0.000002380255359556839,2.4920058268579592,-2.0215855413745172e-7,-0.000012845348953888539,-0.17965038846593634,-0.0000010925584066331178,0.00005446781450423316
-0.000003470602238681523,2.492005826856745,-2.948978917405446e-7,-0.00001873857808484925,-0.17965038847503145,-0.0000015938089603442943,0.00007945142504721495
-0.000005061181836796232,2.4920058268541654,-4.301848198243907e-7,-0.000027335520863510128,-0.1796503884940751,-0.000002325028367058196,0.00011590900953263071
-0.000007381492433655857,2.4920058268486853,-6.275398426471213e-7,-0.000039876594909029336,-0.1796503885341516,-0.0000033917264429841257,0.00016908814088291703
-0.000010766322182197133,2.492005826837034,-9.154395780633318e-7,-0.000058171299814897426,-0.1796503886187727,-0.000004947823619857349,0.00024666228414040584
-0.000015704054249356222,2.4920058268122545,-0.000001335426161862963,-0.00008485930156586121,-0.17965038879788903,-0.000007217865982637142,0.00035982482518647434
-0.000022907133451814906,2.492005826759548,-0.000001948102530336253,-0.00012379129713508246,-0.1796503891776439,-0.000010529437881203314,0.0005249069534049364
